t_ms,run1_endpoint_error_um,run2_endpoint_error_um,run3_endpoint_error_um,run4_endpoint_error_um,run5_endpoint_error_um,run6_endpoint_error_um,mean_error_um,run1_leave_one_out_residual_um,run2_leave_one_out_residual_um,run3_leave_one_out_residual_um,run4_leave_one_out_residual_um,run5_leave_one_out_residual_um,run6_leave_one_out_residual_um
13.375,-1.7000000000000028,-1.7999999999999972,-1.9000000000000057,-1.7999999999999972,-1.7999999999999972,-1.9000000000000057,-1.8166666666666675,0.13999999999999768,0.02000000000000446,-0.10000000000000564,0.02000000000000446,0.02000000000000446,-0.10000000000000564
13.5,-1.6000000000000014,-1.7000000000000028,-1.9000000000000057,-1.7000000000000028,-1.7000000000000028,-1.7999999999999972,-1.7333333333333354,0.1600000000000008,0.03999999999999915,-0.20000000000000417,0.03999999999999915,0.03999999999999915,-0.07999999999999408
13.625,-1.500000000000007,-1.6000000000000014,-1.7000000000000028,-1.6000000000000014,-1.6000000000000014,-1.7000000000000028,-1.6166666666666696,0.1399999999999948,0.020000000000001794,-0.10000000000000009,0.020000000000001794,0.020000000000001794,-0.10000000000000009
13.75,-1.3999999999999986,-1.500000000000007,-1.6000000000000014,-1.500000000000007,-1.500000000000007,-1.6000000000000014,-1.5166666666666704,0.14000000000000634,0.01999999999999602,-0.0999999999999972,0.01999999999999602,0.01999999999999602,-0.0999999999999972
13.875,-1.3000000000000043,-1.3999999999999986,-1.500000000000007,-1.3999999999999986,-1.3000000000000043,-1.3999999999999986,-1.3833333333333353,0.0999999999999972,-0.01999999999999602,-0.14000000000000634,-0.01999999999999602,0.0999999999999972,-0.01999999999999602
14.0,-1.2000000000000028,-1.2000000000000028,-1.3000000000000043,-1.2000000000000028,-1.2000000000000028,-1.3000000000000043,-1.2333333333333367,0.04000000000000048,0.04000000000000048,-0.08000000000000118,0.04000000000000048,0.04000000000000048,-0.08000000000000118
14.125,-1.000000000000007,-1.000000000000007,-1.2000000000000028,-1.1000000000000014,-1.000000000000007,-1.1000000000000014,-1.066666666666671,0.07999999999999696,0.07999999999999696,-0.15999999999999792,-0.03999999999999626,0.07999999999999696,-0.03999999999999626
14.25,-0.8999999999999986,-0.8999999999999986,-1.000000000000007,-0.8999999999999986,-0.8999999999999986,-1.000000000000007,-0.9333333333333348,0.040000000000003366,0.040000000000003366,-0.08000000000000684,0.040000000000003366,0.040000000000003366,-0.08000000000000684
14.375,-0.7000000000000028,-0.8000000000000043,-0.8999999999999986,-0.8000000000000043,-0.8000000000000043,-0.8000000000000043,-0.800000000000003,0.12000000000000033,-1.4432899320127035e-15,-0.11999999999999456,-1.4432899320127035e-15,-1.4432899320127035e-15,-1.4432899320127035e-15
14.5,-0.6000000000000014,-0.6000000000000014,-0.7000000000000028,-0.6000000000000014,-0.6000000000000014,-0.6000000000000014,-0.6166666666666684,0.02000000000000024,0.02000000000000024,-0.10000000000000142,0.02000000000000024,0.02000000000000024,0.02000000000000024
14.625,-0.3999999999999986,-0.5000000000000071,-0.5000000000000071,-0.5000000000000071,-0.5000000000000071,-0.5000000000000071,-0.483333333333339,0.10000000000000853,-0.020000000000001683,-0.020000000000001683,-0.020000000000001683,-0.020000000000001683,-0.020000000000001683
14.75,-0.30000000000000426,-0.3999999999999986,-0.3999999999999986,-0.3999999999999986,-0.3999999999999986,-0.3999999999999986,-0.38333333333333286,0.09999999999999432,-0.019999999999998852,-0.019999999999998852,-0.019999999999998852,-0.019999999999998852,-0.019999999999998852
14.875,-0.20000000000000284,-0.20000000000000284,-0.30000000000000426,-0.20000000000000284,-0.20000000000000284,-0.30000000000000426,-0.23333333333333664,0.04000000000000056,0.04000000000000056,-0.08000000000000113,0.04000000000000056,0.04000000000000056,-0.08000000000000113
15.0,-0.10000000000000142,-0.10000000000000142,-0.20000000000000284,-0.20000000000000284,-0.20000000000000284,-0.20000000000000284,-0.16666666666666904,0.08000000000000113,0.08000000000000113,-0.04000000000000056,-0.04000000000000056,-0.04000000000000056,-0.04000000000000056
15.125,-0.10000000000000142,-0.10000000000000142,-0.10000000000000142,-0.10000000000000142,-0.10000000000000142,-0.10000000000000142,-0.10000000000000142,0.0,0.0,0.0,0.0,0.0,0.0
15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.375,0.10000000000000142,0.0,0.0,0.0,0.0,0.0,0.016666666666666902,0.10000000000000142,-0.020000000000000285,-0.020000000000000285,-0.020000000000000285,-0.020000000000000285,-0.020000000000000285
15.5,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.0,0.10000000000000142,0.08333333333333452,0.02000000000000028,0.02000000000000028,0.02000000000000028,0.02000000000000028,-0.10000000000000142,0.02000000000000028
15.625,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.0,0.10000000000000142,0.08333333333333452,0.02000000000000028,0.02000000000000028,0.02000000000000028,0.02000000000000028,-0.10000000000000142,0.02000000000000028
15.75,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.0,0.10000000000000142,0.08333333333333452,0.02000000000000028,0.02000000000000028,0.02000000000000028,0.02000000000000028,-0.10000000000000142,0.02000000000000028
15.875,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.0,0.10000000000000142,0.08333333333333452,0.02000000000000028,0.02000000000000028,0.02000000000000028,0.02000000000000028,-0.10000000000000142,0.02000000000000028
16.0,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.0,0.10000000000000142,0.08333333333333452,0.02000000000000028,0.02000000000000028,0.02000000000000028,0.02000000000000028,-0.10000000000000142,0.02000000000000028
16.125,0.10000000000000142,0.0,0.10000000000000142,0.0,0.0,0.10000000000000142,0.05000000000000071,0.06000000000000085,-0.06000000000000085,0.06000000000000085,-0.06000000000000085,-0.06000000000000085,0.06000000000000085
16.25,0.0,0.0,0.0,0.0,-0.10000000000000142,0.0,-0.016666666666666902,0.020000000000000285,0.020000000000000285,0.020000000000000285,0.020000000000000285,-0.10000000000000142,0.020000000000000285
16.375,0.0,-0.10000000000000142,0.0,-0.10000000000000142,-0.10000000000000142,0.0,-0.05000000000000071,0.06000000000000085,-0.06000000000000085,0.06000000000000085,-0.06000000000000085,-0.06000000000000085,0.06000000000000085
16.5,-0.10000000000000142,-0.10000000000000142,0.0,-0.10000000000000142,-0.10000000000000142,-0.10000000000000142,-0.08333333333333452,-0.02000000000000028,-0.02000000000000028,0.10000000000000142,-0.02000000000000028,-0.02000000000000028,-0.02000000000000028
16.625,-0.10000000000000142,-0.20000000000000284,-0.10000000000000142,-0.20000000000000284,-0.20000000000000284,-0.10000000000000142,-0.15000000000000213,0.06000000000000086,-0.06000000000000086,0.06000000000000086,-0.06000000000000086,-0.06000000000000086,0.06000000000000086
16.75,-0.20000000000000284,-0.20000000000000284,-0.10000000000000142,-0.20000000000000284,-0.20000000000000284,-0.20000000000000284,-0.18333333333333593,-0.020000000000000295,-0.020000000000000295,0.10000000000000142,-0.020000000000000295,-0.020000000000000295,-0.020000000000000295
16.875,-0.20000000000000284,-0.30000000000000426,-0.20000000000000284,-0.30000000000000426,-0.30000000000000426,-0.20000000000000284,-0.25000000000000355,0.06000000000000083,-0.06000000000000086,0.06000000000000083,-0.06000000000000086,-0.06000000000000086,0.06000000000000083
17.0,-0.30000000000000426,-0.30000000000000426,-0.30000000000000426,-0.30000000000000426,-0.30000000000000426,-0.30000000000000426,-0.30000000000000426,0.0,0.0,0.0,0.0,0.0,0.0
17.125,-0.30000000000000426,-0.3999999999999986,-0.30000000000000426,-0.30000000000000426,-0.3999999999999986,-0.30000000000000426,-0.3333333333333357,0.039999999999997704,-0.07999999999999546,0.039999999999997704,0.039999999999997704,-0.07999999999999546,0.039999999999997704
17.25,-0.30000000000000426,-0.3999999999999986,-0.30000000000000426,-0.30000000000000426,-0.3999999999999986,-0.3999999999999986,-0.3500000000000014,0.05999999999999661,-0.05999999999999661,0.05999999999999661,0.05999999999999661,-0.05999999999999661,-0.05999999999999661
17.375,-0.30000000000000426,-0.3999999999999986,-0.30000000000000426,-0.3999999999999986,-0.3999999999999986,-0.3999999999999986,-0.36666666666666714,0.07999999999999546,-0.039999999999997704,0.07999999999999546,-0.039999999999997704,-0.039999999999997704,-0.039999999999997704
17.5,-0.30000000000000426,-0.3999999999999986,-0.30000000000000426,-0.3999999999999986,-0.3999999999999986,-0.3999999999999986,-0.36666666666666714,0.07999999999999546,-0.039999999999997704,0.07999999999999546,-0.039999999999997704,-0.039999999999997704,-0.039999999999997704
17.625,-0.30000000000000426,-0.3999999999999986,-0.30000000000000426,-0.3999999999999986,-0.3999999999999986,-0.3999999999999986,-0.36666666666666714,0.07999999999999546,-0.039999999999997704,0.07999999999999546,-0.039999999999997704,-0.039999999999997704,-0.039999999999997704
17.75,-0.30000000000000426,-0.3999999999999986,-0.30000000000000426,-0.30000000000000426,-0.3999999999999986,-0.3999999999999986,-0.3500000000000014,0.05999999999999661,-0.05999999999999661,0.05999999999999661,0.05999999999999661,-0.05999999999999661,-0.05999999999999661
